CampaignId,CampaignName,Date,Device,Cost,Impressions,Clicks,AllConversions,Conversions,CostPerAllConversion,Engagements,VideoQuartile100Rate,VideoQuartile75Rate,VideoQuartile50Rate,VideoQuartile25Rate,VideoViews
9816215655,AK_COL_SEM_PEF_CPC_AON_LB_LG_Abr20_EXP_ABR,2023-02-17,Computers,83048,543,60,0.94,0,88050.97,0,0,0,0,0,0
9816215655,AK_COL_SEM_PEF_CPC_AON_LB_LG_Abr20_EXP_ABR,2023-02-12,Computers,11323,205,15,1,0,11323,0,0,0,0,0,0
9816215655,AK_COL_SEM_PEF_CPC_AON_LB_LG_Abr20_EXP_ABR,2023-02-07,Computers,51859,487,54,3,2,17286.33,0,0,0,0,0,0
9816215655,AK_COL_SEM_PEF_CPC_AON_LB_LG_Abr20_EXP_ABR,2023-02-16,Computers,41561,411,36,3.38,2.25,12307.46,0,0,0,0,0,0
9816215655,AK_COL_SEM_PEF_CPC_AON_LB_LG_Abr20_EXP_ABR,2023-02-04,Computers,20907,193,22,129.3,85.23,161.69,0,0,0,0,0,0
9816215655,AK_COL_SEM_PEF_CPC_AON_LB_LG_Abr20_EXP_ABR,2023-02-11,Computers,72576,54,5,9.72,6.52,7469.07,0,0,0,0,0,0
9816215655,AK_COL_SEM_PEF_CPC_AON_LB_LG_Abr20_EXP_ABR,2023-02-01,Computers,44837,451,61,0.8,0.54,55721.74,0,0,0,0,0,0
9835412074,AK_COL_SEM_PEF_CPC_AON_TV_LG_Abr20_EXP_ABR,2023-02-09,Computers,24088,248,32,1.03,0.66,23405.5,0,0,0,0,0,0
9835412074,AK_COL_SEM_PEF_CPC_AON_TV_LG_Abr20_EXP_ABR,2023-02-06,Computers,7468,140,16,0.42,0.28,17854.15,0,0,0,0,0,0
9835412074,AK_COL_SEM_PEF_CPC_AON_TV_LG_Abr20_EXP_ABR,2023-02-03,Computers,4192,107,14,0,0,0,0,0,0,0,0,0
9835412074,AK_COL_SEM_PEF_CPC_AON_TV_LG_Abr20_EXP_ABR,2023-02-10,Computers,9760,206,27,0,0,0,0,0,0,0,0,0
9835412074,AK_COL_SEM_PEF_CPC_AON_TV_LG_Abr20_EXP_ABR,2023-02-08,Computers,9735,151,25,1.21,0.82,8068.97,0,0,0,0,0,0
9835412074,AK_COL_SEM_PEF_CPC_AON_TV_LG_Abr20_EXP_ABR,2023-02-13,Computers,10581,171,18,21.07,14.05,502.26,0,0,0,0,0,0
9835412074,AK_COL_SEM_PEF_CPC_AON_TV_LG_Abr20_EXP_ABR,2023-02-05,Computers,440,61,2,0,0,0,0,0,0,0,0,0
9835412074,AK_COL_SEM_PEF_CPC_AON_TV_LG_Abr20_EXP_ABR,2023-02-14,Computers,1920,28,4,0,0,0,0,0,0,0,0,0
9835412074,AK_COL_SEM_PEF_CPC_AON_TV_LG_Abr20_EXP_ABR,2023-02-02,Computers,6038,136,16,0,0,0,0,0,0,0,0,0
9835412074,AK_COL_SEM_PEF_CPC_AON_TV_LG_Abr20_EXP_ABR,2023-02-12,Computers,9418,159,13,0,0,0,0,0,0,0,0,0
9835412074,AK_COL_SEM_PEF_CPC_AON_TV_LG_Abr20_EXP_ABR,2023-02-07,Computers,4951,148,17,0,0,0,0,0,0,0,0,0
9835412074,AK_COL_SEM_PEF_CPC_AON_TV_LG_Abr20_EXP_ABR,2023-02-04,Computers,460,52,2,0,0,0,0,0,0,0,0,0
9835412074,AK_COL_SEM_PEF_CPC_AON_TV_LG_Abr20_EXP_ABR,2023-02-11,Computers,5911,135,12,0,0,0,0,0,0,0,0,0
9835412074,AK_COL_SEM_PEF_CPC_AON_TV_LG_Abr20_EXP_ABR,2023-02-01,Computers,7156,123,14,1,0,7156,0,0,0,0,0,0
17977965803,AK_COL_MAX_PEF_CPC_EST_AU_JBL_Ago22_EXP_AGO,2023-02-20,Computers,80964.09,11435,91,25.74,14.22,3145.3,1965,0,0,0,0,1679
17977965803,AK_COL_MAX_PEF_CPC_EST_AU_JBL_Ago22_EXP_AGO,2023-02-23,Computers,39242.57,5778,37,7,4,5606.08,1793,0,0,0,0,1565
